SeriesName,Location,DaysTaught,ClassesPerWeek,Category,OriginalAuthor,LessonSeq,RecordingDate,DayOfWeek,Serial,SubTopic,TelegramFileName,Type,Topic,DateInArabic,ClipLength,doubtsStatus
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,19,2025-10-23,Thursday,Not Available,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,29 رجب 1437 ه,Not Available,Serial number not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,20,2025-10-23,Thursday,Not Available,كتاب الطهارة,Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,21,2025-10-23,Thursday,Not Available,كتاب ( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,20 شوال 1437 ه,Not Available,Serial number not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,22,2025-10-23,Thursday,Not Available,كتاب الطهارة : من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام.,Not Available,Series,Not Available,05 ذوالقعدة 1437 ه,Not Available,Type unclear - defaulted to Series; Serial number not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,23,2025-10-23,Thursday,Not Available,كتاب ( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,24,2025-10-23,Thursday,Not Available,كتاب الطهارة,Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,25,2025-10-23,Thursday,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,26,2025-10-23,Thursday,025,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,27,2025-10-23,Thursday,026,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,28,2025-10-23,Thursday,027,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,29,2025-10-23,Thursday,Not Available,Not Available,Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,30,2025-10-23,Thursday,Not Available,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,29 رجب 1437 ه,Not Available,Serial number not found
